id,name,description,price,date,category,image,gender,age,material
2,"PinyPon Masinuta Mov","Setul contine o figurina PinyPon cu par galben, masinuta roz, cosulet, set picnic si alte accesorii.",19.90,"2015-05-21 11:16:10",Masini,23570.jpg,,0,
3,"PinyPon Masinuta Roz","Setul contine o figurina PinyPon cu par mov, masinuta roz, cosulet, set picnic si alte accesorii.",14.00,"2015-05-21 11:17:03",Masini,23569.jpg,,0,
52,"Tancuri de Lupta","Set 2 tancuri cu sistem de lovire a adversarului.",64.00,"2015-05-21 12:16:43",Masini,4526.jpg,,0,
53,"Elicopter Black Hawk UH-60","Elicopter Black Hawk UH-60 cu Gyro, 3 canale, de interior Syma S102G.",50.00,"2015-05-21 12:17:12",Masini,9674.jpg,,0,
54,"Hummer H2 SUV 1:27","Masinuta Hummer H2 SUV radiocomandata la scara 1:27.",37.00,"2015-05-21 12:17:46",Masini,21083.jpg,,0,
55,"BMV M3 Drift Car 1:24","BMW M3 este o masinuta cu telecomanda dotata cu pneuri slick, special conceputa pentru drifturi.",46.00,"2015-05-21 12:18:23",Masini,28214.jpg,,0,
56,"Range Rover Evoque cu Telecomanda Scara 1:14","Range Rover Evoque, noul SUV compact de lux, produs de britanicii de la Land Rover, are o silueta uimitoare si agila!",37.00,"2015-05-21 12:18:49",Masini,26082.jpg,,0,
57,"I-Spy Tank Control Android/iPhone","I-Spy Tank aduce un nou nivel de functionalitate smartphone-ului sau tabletei dumneavoastra.",109.99,"2015-05-21 12:19:35",Masini,26923.jpg,,0,
46,"Barbie Zana","Papusa Teresa din gama Barbie Fashion Mix & Match.",23.00,"2015-05-21 12:11:38",Papusi,27347.jpg,,0,
47,"Papusa Ryan","Caracteristici:
Papusa baiat Ryan din gama Fashionistas Barbie.
Setul include: papusa Ryan cu tricou, pantalon de culoare verde si pantofi sport.
Varsta: 3 ani +",29.99,"2015-05-21 12:12:07",Papusi,31474.jpg,,0,
48,"Papusa Nenuco cu Ponei","Papusa Nenuco fetita cu parul blond pentru fetite cu varsta peste 3 ani +.",36.00,"2015-05-21 12:12:39",Papusi,28406.jpg,,0,
49,"Bebelus Parfumat","Paola Reina e o marca foarte cunoscuta si apreciata de papusi fabricate in Spania.",22.00,"2015-05-21 12:13:16",Papusi,28513.jpg,,0,
50,"Papusa Nenuco cu Set Coafor","Papusa Nenuco cu foen, aparat pentru impletit parul, pieptan si multe accesorii pentru par.",45.00,"2015-05-21 12:14:32",Papusi,23250.jpg,,0,
51,"Bebe Nenuco in Scaunel de Masa","Papusa bebe Nenuco in scaun de masa cu lingurita si baveta.",24.00,"2015-05-21 12:15:06",Papusi,23245.jpg,,0,
59,"Mascota Plus Mickey Mouse 25 Cm ClubHouse","Plusuri Disney Mickey Mouse 25 cm.",19.99,"2015-05-21 12:21:11",Papusi,15475.jpg,,0,
58,"Set Doctor Hello Kitty","Set de doctor interactiv cu Hello Kitty si accesorii.",26.00,"2015-05-21 12:20:50",Plusuri,23449.jpg,,0,
60,"HideAway Pets - Ariciul Mama","HideAway Pets sunt noua senzatie in materie de jucarii din plus.",12.00,"2015-05-21 12:21:38",Plusuri,img-new.png,,0,
61,"HideAway Pets - Catelul Ozzy","HideAway Pets sunt noua senzatie in materie de jucarii din plus.",7.00,"2015-05-21 12:22:01",Plusuri,29310.jpg,,0,
62,"HideAway Pets - Iepurasul Harley","HideAway Pets sunt noua senzatie in materie de jucarii din plus.",21.99,"2015-05-21 12:22:26",Plusuri,29312.jpg,,0,
63,"HideAway Pets - Foca Kotik","HideAway Pets sunt noua senzatie in materie de jucarii din plus.",16.00,"2015-05-21 12:22:52",Plusuri,29311.jpg,,0,
43,"Cladirea Flatiron","REDUCERE: PRET INITIAL : 49,99
Set disponibil începând din 1 iunie 2015. Pentru a avea prioritate, puteţi înregistra comanda în aşteptare iar noi vom expedia setul imediat ce va fi disponibil.",35.00,"2015-05-21 12:06:41",Promotii,lego-architecture-21023.jpg,,0,
